CLUE,ANS,POS,FOUND IN
Small restaurant ,cafe,16,Corner cafe
An official language of the Republic of India,english,19,"English (used as an official language for government, business, education and international communication)"
Consent ,agree,1,Agreement
Broad prospect ,vista,4,Vistas
In each other's company ,together,20,"Cohabitation (also repeated, as it is essentially synonymous with in each other's company when referring to living together)"
Worship of the Devil ,satanism,4,Satanism - A belief system that venerates Satan and often involves practices considered by many religions as evil-worshipping.
Electrical unit ,volt,2,Volt (V) - The unit of electrical potential difference or voltage.
Relating to hearing ,aural,11,Binaural
Swedish astronomer who devised temperature scale ,celsius,1,Anders Celsius
Minutiae ,trivia,7,Triviality
"Ransack, plunder ",loot,4,Ransack - To search thoroughly and disorderly through something (often for loot).
Unite ,join,1,"Conjoin - To join together, especially to form one unit or whole."
"Support, large mammal ",bear,15,Bear (as in grizzly bear)
Russian revolutionary ,trotsky,2,Leon Trotsky
Golfer's support ,tee,2,Tee - The small peg where a golfer places their first shot on an eighteen-hole course.
Port in southwest Spain ,cadiz,17,Cadiz - Reiterating its significance as a major Spanish port.
Superman's world and a gas ,krypton,1,"Krypton - The fictional planet where Superman originated from, often referred to as his ""world."""
Complain; meat ,beef,2,Beef - another term for cows' meat.
Illumination ,light,3,Lightbulb
Small tower above a building ,turret,1,"Turret - A small tower on a larger structure, such as a castle or fortress."
Bavarian town known for its passion play ,oberammergau,3,"Oberammergau (Bavarian town famous for its reenactment of the Crucifixion every ten years, starting from 1634)"
They keep watch ,guards,13,Lifeguards
Noted Norwegian playwright ,ibsen,2,Ibsens
Bashed ,battered,3,Battered - Refers both to physical violence leading to injuries and emotional distress from continuous abuse.
Check on - large lizard,monitor,1,"Monitor - While not specifically related to lizards, ""monitor"" can metaphorically apply when observing or keeping an eye on something, including larger reptiles like lizards"
"Ankle, e.g. ",joint,6,Ankle joint
SI unit of electromotive force,volt,1,Volt (V) - The SI unit used to measure electric potential difference or electromotive force.
