CLUE,ANS,POS
"Experience, perceive ",feel,1
Crowd ,mass,2
Parliamentary break ,recess,1
Inebriated ,drunk,1
"Calm, tranquil ",untroubled,9
Italian sparkling wine ,asti,2
Public occasion ,event,9
"Sickness, ailment ",malady,4
"Curious, odd ",peculiar,1
Live,exist,1
"Stranger, outsider ",foreigner,3
Imaginary place where everything is perfect ,utopia,1
Out of tune,off-key,1
It may be grizzly or polar ,bear,21
Figure maker ,sculptor,2
Rips; droplets ,tears,1
"Trustworthy, dependable ",reliable,1
Exhorting ,urging,1
Plaything ,toy,1
Colouring stick ,crayon,1
Pulverise ,mash,11
"Dry, parched ",arid,3
Restored to intelligibility ,unscrambled,10
Emaciated ,skeletal,8
Fault - default ,defect,5
