CLUE,ANS,POS
Talon ,claw,14
Incapable of motion ,immobile,3
Degree document ,diploma,1
Grown-up tadpole ,frog,4
Young horse ,colt,1
Showy flower ,orchid,1
"Deadlock, stalemate",impasse,5
Leading performer,star,3
Teesside town ,middlesbrough,1
Group of states ruled by one ,empire,3
Flock,herd,2
Night-flying insect ,moth,1
Spiny succulent ,cactus,3
Fine earthenware ,porcelain,3
Imaginary place of great wealth and opportunity ,el dorado,13
"Detached, kept apart ",isolated,2
Figure of a person made of ice crystals ,snowman,1
Carnivorous large cat,tiger,4
