CLUE,ANS,POS,FOUND IN
French ferry port ,calais,2,Calais-Dunkerque
Sudden emotional speech ,outburst,2,Heartfelt outburst
This sauce often goes with fish ,tartar,1,Tartar sauce
Covered with trees ,wooded,12,Lushly wooded
Infallible authority ,oracle,12,All-knowing oracle (metaphorical)
Cuisine of southern North America ,tex-mex,10,Mexican-American fusion (Tex-Mex)
First-footing time ,new year,1,New Year's first guest
Fatty ,adipose,20,Adipose (referencing body fat tissue)
"Grate, scratch ",scrape,8,Scrape (cleaning or removing a surface layer)
Vanity Fair author ,thackeray,1,William Makepeace Thackeray
Increase by 100%,double,1,Doubled
Senior ,elder,1,Elderly
"Author of The Female Eunuch, b.1939",greer,1,Germaine Windsor Greer
