CLUE,ANS,POS
Domineering ,bossy,3
Fresh and bright ,vivid,9
Country once known as Abyssinia,ethiopia,1
Fastened; joined ,attached,11
Freshwater mammals ,otters,4
Strong ,powerful,13
Hello and goodbye to the Italians ,ciao,1
Beer ,ale,1
Pacific country ,tonga,14
Yellow part of an egg ,yolk,11
Awful ,dreadful,6
Cholesterol-reducing drug ,statin,1
"Quite sufficient, more than enough ",ample,1
Uncertainty ,doubt,3
Reachable from home on a daily basis ,commutable,5
"Hard, shiny coating as on teeth ",enamel,1
