CLUE,ANS,POS
"Inscribed slab found 1799, making it possible to decipher Egyptian hieroglyphics ",rosetta stone,1
Band worn around the neck ,choker,3
Tiredness,fatigue,1
Bovine animals ,cattle,9
Hostelry for travellers ,inn,1
Items of cutlery ,spoons,3
It's distilled from molasses ,rum,1
Lustre ,sheen,5
"Medieval Japanese trained in martial arts, assassination and espionage ",ninja,1
Curly-haired breed of dog ,poodle,1
"Liszt or Ravel, say ",composer,1
Male domestic feline ,tomcat,2
