CLUE,ANS,POS,FOUND IN
Beautiful insect and swimming stroke ,butterfly,1,"However, the word ""butterfly,"" both for the insect and for a type of swimming stroke (the butterfly stroke), fits this clue remarkably well:"
Bring to a close ,end,3,End it
"Go regularly to, church perhaps ",attend,1,Attend frequently
Historic area of France once part of Aquitaine ,poitou,11,Poitou-Charentes (historic territory linked with Aquitaine in the past)
Rainwater channel,gutter,2,Guttering
Of dogs,canine,1,Canines
Price of passage ,fare,13,Transportation fare
Outline drawing ,sketch,2,Sketching the Basic Shapes: Start with simple shapes that make up your subject
Drink ,beverage,7,Beverage consumption
Spotted; saw ,espied,9,Espied (old-fashioned term)
End of day ,sunset,3,Sunset hour
