CLUE,ANS,POS
Cultivated plot of ground ,garden,1
Particular feature ,aspect,10
Waterway ,canal,2
Chaser of criminals for reward ,bounty hunter,1
Lights in transparent cases ,lanterns,6
Type of savoury tart ,quiche,1
Vocalist ,singer,1
Act imposed for sin ,penance,1
Perceive,notice,2
"Put down, degrade (6). ",demean,5
Ungenerous,stingy,1
Rotate ,spin,2
Forbearing ,tolerant,1
Decay in teeth ,caries,2
"Hat, for a country-and-western singer perhaps",stetson,2
Abraham's wife (OT) ,sarah,1
Not ready enough for action ,underprepared,2
Reasoning ,logic,2
Power of creative thought ,imagination,2
