CLUE,ANS,POS
Rabbit coop ,hutch,1
Soundless ,silent,1
Get off a horse,dismount,2
Resident ,citizen,6
Magical being ,fairy,2
Capital of South Carolina ,columbia,1
"Guest, caller ",visitor,1
Capital of Rwanda ,kigali,1
Morally right ,ethical,1
"Torn apart, severed ",sundered,18
Coterie ,clique,4
Organ of sight ,eye,1
Structure in an apiary,beehive,1
Beatrix Potter character ,peter rabbit,1
Unruffled ,composed,2
Foolish talk ,twaddle,4
Builder's safety wear ,hard hat,1
Jealous emotion - deadly sin,envy,1
