CLUE,ANS,POS,FOUND IN
Slight wind ,breeze,1,Gentle breeze
Produce shoots ,sprout,2,Sprouting
Vegetable ,pea,16,Asparagus spear
Retaliation ,revenge,2,Revenge-seeking
Established lines of travel ,routes,1,Predefined routes
"Sheila from Sydney, perhaps?",aussie,6,Local Aussie charm
Wading bird ,avocet,12,Recurvirostra (specific species like Avocet)
Set of beliefs ,doctrine,7,Theological doctrines
"Captain -, polar explorer with Scott ",oates,18,"Scott's second-in-command (Captain Lawrence Oates, who famously sacrificed himself during the Terra Nova Expedition, though he was not officially titled ""Captain"" at that time)."
Dissuade ,deter,8,Deterrence (the act of dissuading)
