CLUE,ANS,POS,FOUND IN
Non-professional ,amateur,1,Amateurish
"Not liable to, perhaps disease ",immune,4,"Immune - Safe from infection, metapromptically using the context of ""not liable to"" as resistance to disease rather than legal responsibility."
Arachnid ,spider,1,Spiders
United States ,america,1,American
"Flip, coin or pancake say ",toss,7,Coin toss result
Birthplace of Jesus,bethlehem,2,Bethlehem of Macrina
Turkish dynasty or long cushioned seat ,ottoman,1,Ottoman - referring to the historical Turkish dynasty that ruled for centuries
Plant seeds ,sow,2,Sowing
"Length of time, or a full stop ",period,9,"Periodically (less common for ""full stop"")"
Attack by many parasites ,infestation,19,Parasitic infestation
First tsar of Russia,ivan,6,Ivan IV (Ivan the Terrible)
Men who are mighty in battle ,warriors,1,Fearless warriors
Every single one ,each,1,Each individual element
