CLUE,ANS,POS
Farthest - to the highest degree,extreme,1
Not sorry,unapologetic,1
Conceited ,vain,2
Medical treatment ,therapy,1
Buying goods ,shopping,4
Rage ,fury,1
Theft ,larceny,3
County of southern England ,dorset,1
Minimum attendance ,quorum,3
Route for Crusoe ,course,9
Supposed loch monster ,nessie,1
Family member by marriage ,brother-in-law,5
Bold and daring ,audacious,1
Group of items of the same kind ,set,3
Andalusian gypsy music ,flamenco,1
Masticated ,chewed,1
"Break free, get away ",escape,1
"Attentive, watchful ",alert,3
Not defeated ,unbeaten,5
