CLUE,ANS,POS
"Inscribed slab found 1799, making it possible to decipher Egyptian hieroglyphics ",rosetta stone,1
Band worn around the neck ,choker,3
Exotic flower ,orchid,1
Bovine animals ,cattle,12
Hostelry for travellers ,inn,1
Set of clothes or group of people ,outfit,1
Immediately appealing or noticeable,eye-catching,2
It's distilled from molasses ,rum,1
Valid ,sound,2
"Medieval Japanese trained in martial arts, assassination and espionage ",ninja,2
US state ,indiana,11
Curly-haired breed of dog ,poodle,1
About-turn ,reversal,1
Wine merchant ,vintner,9
