CLUE,ANS,POS
Moroccan stew cooked in a pot with a conical lid ,tagine,1
Oblivious ,unaware,16
"American state, capital Montgomery ",alabama,1
Formal set of clothes ,suit,1
"Surreptitious, furtive ",stealthy,8
"Plead, implore ",beg,1
Tenth month,october,1
Hearth ,fireplace,17
"Awful, dreadful ",terrible,12
Bring together ,unite,20
Spanish wine cocktail ,sangria,2
"English poet, diplomat and customs official ",chaucer,1
Tailless marsupial down under ,wombat,3
Difficulty in reading and spelling ,dyslexia,1
Stronghold ,fortress,1
'The once and future king' ,arthur,1
Movie ,film,1
Large water lily ,lotus,1
Vedic hymn ,mantra,4
