CLUE,ANS,POS
Supposes ,imagines,2
Body of land surrounded by water ,island,1
German city ,wiesbaden,17
Windpipe ,trachea,1
(Personification of) the soul ,psyche,3
Tears into strips ,shreds,1
Sad ,morose,7
Banana-like fruit ,plantain,1
Distance between rails ,gauge,1
Locate or identify with precision ,pinpoint,1
Tree-dwelling marsupial ,possum,1
"Hit (by remorse, love) ",smitten,20
Nervous ,on edge,6
Stand against ,defy,3
Ova ,eggs,1
Female fox,vixen,1
Cross-legged yoga attitude,lotus position,4
Football attacker ,striker,2
Most diminutive ,smallest,1
