CLUE,ANS,POS
"Abode, home ",residence,1
Dissolute -- gratuitously cruel ,wanton,12
Fermenting grape juice ,must,4
Glance over ,scan,4
Set of clothes ,outfit,1
Female sheep ,ewe,1
"Declare confidently, promise ",assure,8
Song of loyalty ,anthem,4
Anger ,ire,3
Orderly and clean ,neat,2
Agricultural labourer of low status ,peasant,1
Servitude ,bondage,2
Engulfing swirl of e.g. whirlpool ,vortex,1
"Practical, no-nonsense",down-to-earth,6
Full of praise ,laudatory,4
Characterized by intense feeling ,emotional,2
Asian country ,vietnam,7
Gun ,firearm,1
Brief light fall of rain ,shower,2
Miser ,skinflint,17
Sofa bed ,futon,1
House or hotel visitors ,guests,1
Put right ,amend,5
Hospital-like - strictly objective,clinical,1
Country of Pharaohs ,egypt,1
Gambling house ,casino,1
Strong cord ,rope,1
"Upper class, nobility ",aristocracy,1
Uttered - bicycle wheel part ,spoke,1
