CLUE,ANS,POS
Decoration ,embellishment,3
Person whose earnings support the family ,breadwinner,1
Man-made lake or tank,reservoir,1
Roman fortification between the Forth and Clyde ,antonine wall,1
Nonmilitary person ,civilian,1
False excuse ,pretext,1
Lizard that can change its skin colour ,chameleon,1
Indian tea state ,assam,1
"Fake, phoney ",bogus,3
Obscured ,veiled,4
Decorates ,adorns,1
Zero,nil,2
Hairstyle cut shortly and evenly all round,bob,3
Pressing of a dangerous situation to the limit,brinkmanship,1
