CLUE,ANS,POS
Warming alcoholic drink with sugar and spices ,mulled wine,3
Taut or strained ,tense,1
Pointed tool for writing ,stylus,7
Selection of small dishes served in Greek or Turkish cuisine,meze,1
F Scott Fitzgerald wrote ''The Great .....'' ,gatsby,1
Hillock ,knoll,2
Military land force ,army,2
Water jet ,fountain,5
Horse-drawn vehicle ,carriage,1
Barren ,sterile,5
Ought to ,should,1
Swelling of a blood vessel,aneurysm,2
Long narrow range of hills ,ridge,1
Acid - rancid,sour,1
Forearm bone ,ulna,2
Animal's lair ,den,1
