CLUE,ANS,POS
Interconnected system of things or people ,network,1
Dexterity ,skill,15
Italian city (with two gentlemen),verona,13
Greek - upper room,attic,1
Woolly animals ,sheep,5
Official record of names etc. ,register,10
Death notice ,obituary,4
Cage(s) to keep birds ,aviary,4
Fast boat; blade ,cutter,8
Gain knowledge ,learn,1
Cooking stove,range,11
High quality brandy,cognac,8
Alfred Hitchcock was the master of it ,suspense,2
Small crude shelter ,hut,3
City in Sweden ,uppsala,3
Device to reduce vibrations ,shock absorber,13
