CLUE,ANS,POS,FOUND IN
Ancient two-handled jar ,amphora,1,Amphora (typically a two-handled ancient jar)
Complain like goldfish ,carp,10,Relentless carping
Singer ,soprano,7,Mezzo-soprano
Area of land feeding one river ,drainage basin,2,Watershed (or drainage basin)
Waterhole; healthy ,well,10,Wells
Business transaction in timber ,deal,1,Lumber deal
Appear to be ,seem,7,Inflated - Seeming larger than it truly is due to air or gas trapped inside.
Bring about; on time ,prompt,3,Promptly
Group of things that belong together ,set,3,Set of golf clubs
Idle wanderer ,vagabond,6,Vagabond roamer
Groups or witches ,covens,4,Covensfolk
First woman ,eve,14,Early achiever among women
Regret ,rue,3,Ruefulness
Type of camel - cabin rat (anag),bactrian,2,"Bactrian Camel (with two humps; while not a direct anagram match, it's relevant to the clue)"
Belgian city,antwerp,2,Antwerp - Renowned for its historic architecture and diamond trade.
Sports or entertainment venue ,arena,2,Arenas
