CLUE,ANS,POS,FOUND IN
Tree yielding light wood,balsa,2,"Balsam Fir (Abies balsamea): A species of softwood tree with a lightweight wood often utilized for paper production, pulp, and as an alternative fuel source."
Large property ,estate,1,Expansive estate
Loose casual trousers,slacks,2,Oversized slacks
Interlace strands of material ,weave,13,Weaved with precision
Criminal deception,fraud,1,Fraudulent scheme
John ...... wrote ` `The Pilgrim's Progress'' ,bunyan,1,"As an influential English Christian writer, theologian, and poet, Bunyan's allegorical masterpiece has left a lasting impact on literature and religious thought"
Royal insignia ,regalia,5,Imperial regalia
Discourage ,deter,1,Deterred
Former name for Sri Lanka ,ceylon,1,"The name 'Ceylon' has a rich historical background and was used extensively until Sri Lanka adopted its current name upon becoming an independent republic on February 4, 1978."
Not long ago ,recent,1,Recently
Comedian ,comic,9,Comic storyteller
Early artilleryman ,cannoneer,4,Junior cannoneer
Be next to ,adjoin,10,Adjoining
