CLUE,ANS,POS
Talon ,claw,1
Incapable of motion ,immobile,1
Degree document ,diploma,1
Young horse ,colt,2
Showy flower ,orchid,1
"Deadlock, stalemate",impasse,1
Genuflect,kneel,2
Spoil ,mar,3
Teesside town ,middlesbrough,1
Colour for aristocracy or emperors ,purple,1
Group of states ruled by one ,empire,4
Outshine ,excel,5
Flock,herd,2
Night-flying insect ,moth,1
Spiny succulent ,cactus,1
Imaginary place of great wealth and opportunity ,el dorado,5
Cosmos ,universe,1
Cordial,warm,8
Encourages,urges,10
"Detached, kept apart ",isolated,6
Claw ,talon,4
"Tall building of offices, flats ",tower block,3
Carnivorous large cat,tiger,2
Accelerate - promotion ,step up,8
