CLUE,ANS,POS
Clamorous ,noisy,4
A long arduous march ,trek,1
Light volcanic rock ,pumice,5
Inhabitant of a city ,citizen,1
Agreement ,harmony,3
Small falcon,kestrel,3
Draught of medicine ,potion,1
Underground passage ,tunnel,1
Plenteous ,ample,8
"Chain, shackle ",fetter,5
Militant proponent,zealot,13
Mediterranean island ,cyprus,5
Large army guns ,artillery,2
"Hot and bothered, rattled",flustered,1
Revealed; spread out ,unfolded,11
Sameness ,monotony,14
Indian prince ,rajah,2
Great king of Prussia ,frederick,2
Be there ,attend,5
Portuguese Atlantic isles ,azores,1
Verify -- rein in ,check,5
"Guarantee, promise ",assure,3
