CLUE,ANS,POS,FOUND IN
Flight of steps ,stairs,2,Flight of stairs
Waves ,surf,2,Surface disturbances
Discover ,find,2,Find out
Barrage ,onslaught,5,Onslaught of missiles
"From Naples, perhaps",italian,20,"frittata (an Italian omelette made with eggs, cheese, and various fillings)"
Minimise the importance of (something) ,play down,5,Play down the relevance of
Appends,adds,1,Adds on
More than is needed ,excess,1,Excessive
Speech in praise ,eulogy,18,Complimentary eulogy
"Nahum, Joel etc. ",prophets,2,"Minor prophets (a category that includes Nahum, Joel, and others)"
