CLUE,ANS,POS
Therefore ,hence,4
Person who watches others in secret ,voyeur,4
Teasing unpleasantly ,taunting,1
"American state, capital Des Moines ",iowa,1
Aromatic herb ,tarragon,10
Lubricant ,oil,2
Strangers ,aliens,7
Group of bushes ,thicket,2
Land covered with trees,forest,1
Back of the foot ,heel,1
Unit of power ,watt,1
Military land force ,army,1
S-shaped moulding ,ogee,3
Inexpensive accommodation as for back-packers ,hostel,1
Not temporary ,permanent,1
Flummoxed ,nonplussed,7
"Destiny, kismet ",fate,1
Test ,quiz,6
