CLUE,ANS,POS
Lacking knowledge or awareness ,ignorant,2
Large wine bottle ,magnum,1
Prejudice ,bias,2
Gift ,donation,3
It's used in jam-making ,pectin,1
Period ,era,1
"Rural, countrified ",rustic,5
Collected in one place ,assembled,3
Very small ,microscopic,6
Bridges over valleys,viaducts,3
Member of a Bantu people living in Zimbabwe ,shona,1
Repository for objects of historical interest ,museum,4
Withdraw former statement or belief ,recant,5
Mexican monetary unit,peso,1
Annual ,yearly,1
"Another name for Dionysus, Greek god of drink ",bacchus,1
