CLUE,ANS,POS
Picture dyed into the skin ,tattoo,1
Ravine ,canyon,3
Very light gas ,helium,1
Parasites ,leeches,5
Cab ,taxi,1
Give to a good cause ,donate,1
Endeavours ,attempts,3
Conference participant ,attendee,2
Water pitcher ,ewer,8
Noise caused by electrical interference ,static,3
Small ingenious device ,gadget,1
"Ballroom dance, originally from Germany",waltz,1
Constantly changing ,dynamic,20
Country and porcelain ,china,1
Don't take the rubbish ,refuse,4
Unsightly ,ugly,2
Winter sport where stones are slid towards a target,curling,1
Kingdom,monarchy,1
The Garden of Eden ,paradise,1
Oneness,unity,3
