CLUE,ANS,POS
Lady with guests,hostess,1
Driver of carriage ,coachman,1
Large spade ,shovel,2
"Hastily, illegally convened tribunal",kangaroo court,7
Hearing for an actor ,audition,1
Perform exceptionally ,excel,12
State of southwest US ,arizona,1
Short poem with 14 lines ,sonnet,1
Fellow worker ,colleague,1
Bushy-tailed rodent ,squirrel,1
An organised massacre of Jews ,pogrom,7
Gruesome ,macabre,4
Advise strongly ,exhort,11
Unravel ,disentangle,2
Talisman ,amulet,1
Ill-suited ,unfit,18
"Barely, hardly ",scarcely,1
Subject matter ,theme,2
Major world religion ,islam,2
Uprising ,rebellion,1
Thin mortar for filling building joints etc,grout,13
Firm and confident ,assertive,18
