CLUE,ANS,POS
Conveyance for transport ,vehicle,1
Away ,absent,5
Single cash payment ,lump sum,1
Consume ,eat,1
Country dweller,villager,4
Herb - boy's name,basil,2
Point directly overhead ,zenith,1
Spherical shapes ,orbs,2
Surrendering,giving in,15
Moves unsteadily ,wobbles,5
Performance venue ,arena,4
Dirt on a liquid's surface ,scum,1
University qualification,degree,1
Rejoice - observe - perform ,celebrate,1
Reflective surface,mirror,1
"Glass triangle, separates light into colours ",prism,1
Large felines of forests ,tigers,5
Bluish shade of green ,teal,1
Native of Grecian capital ,athenian,1
Sheltered terrace attached to a house ,veranda,2
Heartfelt,sincere,1
