CLUE,ANS,POS
Lacking knowledge or awareness ,ignorant,4
Large wine bottle ,magnum,2
Prejudice ,bias,2
Gift ,donation,3
It's used in jam-making ,pectin,1
Traditional holy day ,sabbath,2
Period ,era,12
Certificate ,diploma,2
"Rural, countrified ",rustic,7
Collected in one place ,assembled,3
Of the mind ,mental,2
Very small ,microscopic,2
Fastener; propeller ,screw,2
Member of a Bantu people living in Zimbabwe ,shona,1
Mexican monetary unit,peso,1
Annual ,yearly,1
"Flashes, sparkles ",twinkles,2
"Another name for Dionysus, Greek god of drink ",bacchus,1
