CLUE,ANS,POS
Tramp ,vagrant,2
Middle Eastern dessert ,baklava,1
Worthy or praise ,laudable,4
Oriental ,eastern,1
Book of maps ,atlas,1
Inhabit ,occupy,4
Decorative clasp ,brooch,1
Stage setting ,scenery,4
Not recognized ,unknown,1
Keep in a certain state ,maintain,1
Inveterate ,habitual,4
Sphere of activity ,domain,5
"Gyrate, reel ",spin,1
Walked (on) ,trod,10
Layman ,amateur,12
Liable to break easily ,fragile,1
Image to which people are expected to conform,stereotype,6
Flower container,vase,1
(Of music) not in a key ,atonal,4
A horse's feet ,hooves,1
"Inhabit, take up space ",occupy,4
The breastbone ,sternum,6
