CLUE,ANS,POS,FOUND IN
Dexterity ,skill,7,Skillfulness
Italian city (with two gentlemen),verona,13,"Verona - referencing Shakespeare's ""Romeo and Juliet"" without directly stating two gentlemen, but they are central characters."
Old London prison ,newgate,1,Newgate Prison
Old song 'Auld . . . . Syne' ,lang,1,Auld Lang Syne
Russian city and ballet company ,kirov,3,"Mariinsky Ballet (Company) - A world-renowned ballet company based in Saint Petersburg, known as the Kirov Ballet until 2013."
Not in fashion ,out,1,Outdated
Pigment from the cuttlefish,sepia,2,Sepia - A natural brown to reddish-brown pigment obtained from the ink of cuttlefish and other cephalopods.
Move; garment ,shift,1,"Shift (a change, also associated with garments when referring to adjusting clothing)"
Effortless ,easy,1,Easygoing
Unit of resistance ,ohm,1,Ohm (Ω)
Heap ,mass,2,"Mound - An elevated mass of earth, often formed naturally or by human activity"
Red gemstone,garnet,2,"Garnet - An orange-red colored variety of the mineral garnet, often used as a semi-precious stone or jewelry material."
Feel indignation at ,resent,8,Resentful
Parent's sisters (informal),aunties,16,Aunties (informal UK/African English terms for 'aunts')
Flightless bird,emu,4,"Emus - Large, black and white, native to Australia, unable to fly long distances or in the air."
Hollywood award ,oscar,1,Academy Award (Oscar)
Weather conditions ,climate,20,Climate change
