CLUE,ANS,POS
Seize one's opportunities while one can ,strike while the iron is hot,5
Devastate ,ravage,11
Item of footwear ,shoe,1
Concerning the self ,personal,2
Magnify,enlarge,1
Lifting machines and wading birds ,cranes,3
Informal goodbye; see you ,so long,11
Big and roomy ,spacious,1
Pig's noise,oink,1
"Fingers, toes and numbers ",digits,3
"Omar --, film actor ",sharif,2
Bundles of fibres in the body ,nerves,5
Ethical ,moral,1
Land of the tzars ,russia,1
American poet and mystery writer,edgar allan poe,1
Part of the eye ,retina,3
Deep red gem stone ,garnet,2
Antipodean country ,new zealand,2
