CLUE,ANS,POS,FOUND IN
Weighing instrument ,scales,13,Scales and weights
Pronged implement ,fork,2,Three-pronged fork
Voice between contralto and soprano ,mezzo,17,Voicing from mezzo-soprano to countertenor
Engrave ,etch,4,Etched
Supporter of hereditary rule ,monarchist,3,"Monarchist (though not strictly a supporter, it implies support for monarchy)"
In due course,later,8,Sooner or later
Underwear ,lingerie,3,Lingerie essentials
Jump suddenly ,leap,1,Abruptly leap
Blackberry plant ,bramble,3,Bramble fruit
Lock of hair ,tress,12,Hair tress
Bird of prey ,falcon,1,Falconry
"... vera, a soothing plant ",aloe,1,Aloe vera
Car parking control system ,pay and display,15,Pay and display machine
Root used as a coffee substitute ,chicory,6,"Chicory root (used in Europe and America for its bitter qualities, often brewed similarly to coffee)"
