CLUE,ANS,POS,FOUND IN
Healing ointment ,balm,2,Medicinal balm
At the back of a ship,aft,1,Aft deck
Dissolute -- gratuitously cruel ,wanton,1,Wanton cruelty
Distinctive clothing for members ,uniforms,3,Unique uniforms
The home of sherry ,jerez,11,Jerez de la Frontera (city known for Sherry)
Small silky-haired spaniel ,maltese,5,Maltese Spaniel
4840 square yards ,acre,1,Acres
Fermenting grape juice ,must,6,Grape must
Glance over ,scan,4,Rapid scan
Imbibes,drinks,1,Drinks alcohol
Use too much of ,overdo,8,Overindulgent: Being too indulgent; overdoing the enjoyment of something.
Testament or determination ,will,10,Indelible willpower
Deuce ,two,2,Two points
"Declare confidently, promise ",assure,1,Assuredly affirm
