CLUE,ANS,POS
Living in trees ,arboreal,1
Plenty,ample,14
Assistance ,aid,1
Language widespread in East Africa ,swahili,1
Case for a sword ,scabbard,1
Lustrous fabric ,damask,18
The 50th state ,hawaii,1
Harmful,noxious,11
Slender tower with balconies ,minaret,2
Clean and orderly ,tidy,3
West African country ,ghana,2
Pirates' flag ,jolly roger,1
Gifts ,presents,1
Fall down ,tumble,1
Comparable ,similar,1
Musical drama ,opera,1
Seat on horse or bike,saddle,1
Heavenly being ,angel,1
Chances ,odds,2
Eructate,burp,2
Act -- rotate ,turn,2
Great happiness and exhilaration ,euphoria,3
Soapy froth ,lather,1
Plummet ,fall,4
Younger or lower in rank ,junior,1
Influenced or touched by an external factor ,affected,1
Early bedtime enforced by military ,curfew,4
Extreme deviation from the mean -- our tile (anag) ,outlier,4
Gulf state ,qatar,3
Irritate ,annoy,2
Throw (dice) ,roll,1
Illness ,malady,5
Prudent,careful,10
Dishonest man ,rogue,9
