CLUE,ANS,POS
Place of worship,temple,4
Threadlike strands growing from the skin ,hair,22
Jutting part of lower jaw,chin,42
Type of fastening - on/off key,toggle,42
Pulchritude,beauty,42
Took a loan of ,borrowed,42
Wool from long-haired goats ,angora,46
Dramatic works set to music ,operas,2
Fairground's pink confection,candy floss,11
Concerted operation to sully someone's name,smear campaign,22
Implicit,tacit,50
Means of detecting and locating distant objects,radar,45
Modern Constantinople ,istanbul,42
