CLUE,ANS,POS
Decoration ,embellishment,2
Finlandia composer ,sibelius,1
Person whose earnings support the family ,breadwinner,1
Man-made lake or tank,reservoir,1
Filled pasta squares ,ravioli,1
Nonmilitary person ,civilian,1
Start ,begin,1
Saturate ,drench,1
US state ,kansas,16
Impelling ,urging,1
Hot displeasure ,anger,6
(Walk with) a stiff pompous gait ,strut,11
False excuse ,pretext,4
Additional cost,surcharge,1
Goes beyond ,exceeds,1
Child's construction set ,lego,1
Lizard that can change its skin colour ,chameleon,1
Indian tea state ,assam,1
Pare ,trim,3
Not merited ,unearned,2
"Fake, phoney ",bogus,1
Obscured ,veiled,3
Decorates ,adorns,1
Zero,nil,3
"Subject to change, variable ",unstable,9
Gala ,fete,3
Saint and King of Norway ,olaf,1
Hairstyle cut shortly and evenly all round,bob,1
Religious word to express praise or thanks ,alleluia,2
Carries out orders ,obeys,11
Person with refined tastes in food and drink ,epicure,1
