CLUE,ANS,POS
Supporter ,ally,2
Knight's title,sir,5
Projectile from bow ,arrow,1
Alcohol for the trifle ,sherry,11
"Grant, confer ",award,1
"Concurred, assented ",agreed,1
Continuous record of events in order of time ,chronicle,5
Tool for cutting grass with blade on long pole ,scythe,1
Agricultural complex ,ranch,2
Stew-dish ,casserole,15
Goddess of retribution ,nemesis,1
Military encirclement ,siege,15
Fully stated ,explicit,2
Tropical fruit ,mango,2
Area of variation ,range,1
Area with frozen subsoil ,tundra,5
Wrap; pupa's protection ,cocoon,7
