CLUE,ANS,POS
Variety of cabbage ,cauliflower,8
Large flat dish ,platter,1
(US) lorry driver ,trucker,1
Pugilism ,boxing,1
Tome ,book,1
Delicious ,yummy,11
Convert into bone ,ossify,1
Bodkin ,needle,3
One works among trees ,forester,5
Allow ,permit,1
Male deer ,stag,2
Average (but poor),mediocre,1
Catch fire ,ignite,1
Expert in word origins ,etymologist,1
Repair ,mend,1
Detective ,sleuth,3
Impediment,obstacle,2
"Not hollow, the same throughout ",solid,2
In place of ,instead,1
Unwilling to change views ,intransigent,8
Elucidated,clarified,3
Wealthy businessman ,magnate,2
Declare ,affirm,16
"Disappointment, being thwarted",frustration,3
Constituent of quartz ,silica,1
Jewish salutation ,shalom,1
Alloy ,brass,2
Seldom ,rarely,2
