CLUE,ANS,POS
One who believes there is no god,atheist,1
Analgesic drug ,codeine,11
Bird kept for eggs and meat ,fowl,3
"'Refrain from, stop (6)' ",desist,3
Stir (up public opinion?),agitate,10
"Sea-god, son of Poseidon ",triton,1
Shut ,closed,1
Rubbish dropped ,litter,5
Unexpected failure or error ,glitch,5
Dance originating in Cuba ,rumba,4
Metal fixing pin ,rivet,2
Oration,speech,1
Togetherness ,unity,1
"Juicy stone-fruit, orange-pink when ripe ",apricot,2
Cessation of hostilities to allow peace talks ,truce,1
Normal ,usual,8
