CLUE,ANS,POS
Porch along the outside of a building ,veranda,9
Human whose body has been taken over by machines ,cyborg,1
Raised platform ,dais,3
Brow,forehead,2
Legal proceeding brought by one party against another,action,2
"Overturn, disturb ",upset,3
Counterfeit ,fake,1
Audacious robbery,heist,6
Citrus fruit ,lemon,2
Was wrong about (something) ,mistook,4
Rapid alternation of notes ,trill,1
Seasonal gift ,christmas present,1
Dwell ,reside,1
Be - unrecorded,live,2
Reigned ,ruled,1
Express gratitude to ,thank,1
Regain consciousness ,come to,2
Front section of a plane,cockpit,1
Highest point (of orbit) ,apogee,6
Green citrus fruit ,lime,1
Amaze ,astound,1
Concealed like bride's face? ,veiled,1
Spice ,cumin,16
Half-melted snow ,slush,1
