CLUE,ANS,POS
One bringing in goods to country ,importer,1
Completely ,thoroughly,3
Group of elements functioning as whole ,system,20
Artist's workplace,studio,1
Hi! - bye! ,ciao,9
Jolliest ,merriest,2
Holds dear or regards highly ,values,1
Amount left over ,excess,5
Diminished,reduced,1
Ship's load ,cargo,1
Warplane ,fighter,1
Destructive insect,locust,6
"Fingers, toes and numbers",digits,1
Position affording a good view ,vantage point,1
Science of sound ,acoustics,1
"Rescue (of) ship, etc",salvage,8
Administrative body ,council,5
"Leonhard --, C18 Swiss mathematician ",euler,1
French channel port ,calais,1
Everywhere ,far and wide,5
