CLUE,ANS,POS
Informal energy or drive ,vim,1
Hired murderer ,assassin,1
Stretch of time ,period,1
Steven Redgrave's sport,rowing,1
Rope for restraining animal (6) ,tether,6
Aviator ,pilot,1
Examination of component parts ,analysis,3
Capital of Turkey ,ankara,1
"Inordinate, unreasonable ",excessive,1
Officials to ensure fair play ,referees,1
Considers or believes likely ,suspects,13
Italian wine ,chianti,1
Hatred of women ,misogyny,1
Antagonistic ,hostile,3
Imaginary horses ,unicorns,2
Amphibian - a Ken Livingstone pet?,newt,1
Track performer ,athlete,3
