CLUE,ANS,POS,FOUND IN
Resin,lac,3,Shellac
Driven by liquid under pressure ,hydraulic,2,Hydraulic press (operates using hydraulic fluid)
Jutting part of lower jaw,chin,2,"Chin - The protruding bottom part of the mandible, which is also referred to as a ""jut."""
Sailor from the Arabian Nights ,sinbad,2,"Sinbad - The most famous of all the sailors in the ""One Thousand and One Nights."""
Pulchritude,beauty,18,Striking beauty
Treatment centre ,clinic,4,Substance Abuse Clinic
Carriage for hire ,hackney,6,Hackney carriage (UK)
Wool from long-haired goats ,angora,7,"Alpaca Fiber (while alpacas are not long-haired goats, they do produce fine wool which is sometimes compared in quality to mohair from Angora goats)"
"Jeffrey, bowman? ",archer,3,Archer (someone skilled in shooting with a bow and arrow)
Implicit,tacit,5,Taciturn
Means of detecting and locating distant objects,radar,1,Radar - An electronic system used to detect and locate distant objects by transmitting radio waves and analyzing their reflections.
Modern Constantinople ,istanbul,10,Istanbul Stock Exchange (Financial Institution)
Picture dyed into the skin ,tattoo,1,Henna Tattoo
"Ballroom dance, originally from Germany",waltz,1,Waltz - A smooth and graceful ballroom dance in triple time originating in Austria and later popularized by German immigrants.
Country and porcelain ,china,1,"China (historically, known for its high-quality porcelain)"
Material worn knotted round throat,necktie,1,"Necktie - A long piece of cloth, generally silk or polyester, tied around the neck and resting in the front."
"Roman Emperor, d. 117",trajan,1,Trajan (Publius Ovius Traianus) - Served as emperor from 98 AD until his death in 117 AD.
Activity undertaken by Blunt and Philby ,spying,1,"Espionage - The practice of spying, particularly by governments or groups to obtain political and military intelligence"
Illustration on special paper in a book ,plate,1,Colorplate
