CLUE,ANS,POS
Fragrant flower ,lily,2
Brave guy ,hero,2
Self-government in local matters ,home rule,28
Something provoking a response ,stimulus,2
Immature form of insect ,larva,42
Nightclothes,pyjamas,13
Hair dye ,henna,14
Feral ,wild,42
Leaks slowly ,seeps,4
Boy attendants ,pages,2
Sweetheart ,darling,3
"- - Flynn, film star ",errol,2
Long seat with back and arms ,settee,47
Walk as if about to fall,stagger,11
Set of clothes,outfit,5
Surprise greatly or daze ,stun,6
'. . . . . . speaks louder then words' ,action,3
Culinary herb ,coriander,19
