CLUE,ANS,POS
Servitude ,bondage,2
Engulfing swirl of e.g. whirlpool ,vortex,1
"Practical, no-nonsense",down-to-earth,4
Full of praise ,laudatory,2
Characterized by intense feeling ,emotional,6
Asian country ,vietnam,5
Gun ,firearm,11
Brief light fall of rain ,shower,2
Miser ,skinflint,10
Sofa bed ,futon,5
Miniature whirpools ,eddies,1
House or hotel visitors ,guests,1
Put right ,amend,6
This job does not require all of the working week ,part-time,1
Gambling house ,casino,1
"Upper class, nobility ",aristocracy,1
Uttered - bicycle wheel part ,spoke,2
