CLUE,ANS,POS,FOUND IN
Prohibited,barred,11,Barred entrance
Muslim law ,sharia,1,Shariah
Map ,chart,4,Territorial chart
Meet expectations ,satisfy,3,Satisfy demands
Town and woodland bird ,pigeon,18,Wood pigeon
Asking God to look favourably on ,blessing,8,Asking for God's blessing
Affect drastically ,upend,12,Upend fundamentally
Fleet of armed ships ,armada,3,Armada of gunboats
"Decisive moment, turning point ",crisis,17,Crisis point
Country of King Zog ,albania,1,Albania (King Zog ruled Albania from 1928 to 1939)
"Staple food is too apt, strangely ",potato,6,Potato-based dish
