CLUE,ANS,POS,FOUND IN
Midday ,noon,1,Noon hour
Tailback ,queue,6,Backup line: A queue of stationary vehicles behind one another caused by congestion or obstruction on the road ahead.
Getting prepared ,readying,11,Preparatory actions: Activities undertaken with the goal of readying oneself for future circumstances
Cooking vessel; god ,pan,9,"Pan (an ancient Greek deity associated with gods related to food, often depicted holding a cooking pan)"
Meal/drink ,tea,6,"Beverage (e.g., water, tea, coffee)"
Grind between the teeth ,chew,3,Chewing
Motley ,varied,4,Varied bunch
Women's underwear ,lingerie,8,Lingerie essentials
"Strong feeling of joy, fear etc ",emotion,15,Overwhelmed by emotion
Came back ,returned,1,Returned home
Verse ,stanza,6,Ballad stanza (typically ABAB or ABCB rhyme scheme)
Of great worth ,valuable,1,Valuable treasure
Small rounded bread ,roll,4,Crescent roll
