CLUE,ANS,POS
Italian cured pork ,pancetta,3
Tourist attraction of Rome ,colosseum,1
In each other's company ,together,1
Worship of the Devil ,satanism,4
"Force, pressurise ",coerce,2
Electrical unit ,volt,3
Effect produced by playing a series of notes very rapidly,glissando,2
Metal bolt ,rivet,3
Property renter ,tenant,1
Law officer ,sheriff,3
Living being ,animal,4
Quest ,search,6
Russian revolutionary ,trotsky,2
Baldness ,alopecia,1
Shorebird found on sniper pad ,sandpiper,2
Chocolate substitute ,carob,2
Portraying romanticised country life ,pastoral,1
Small tower above a building ,turret,1
Disgusting,repulsive,1
Check on - large lizard,monitor,1
Deadlock ,impasse,4
"Green, inexperienced ",naive,11
Boots and shoes ,footwear,1
Absolves,exonerates,1
