CLUE,ANS,POS,FOUND IN
Provide goods or services for ,cater,8,Caterers (people who provide food and drink)
Cockney ,londoner,1,Working-class Londoner
Access ,entry,1,Entry point
Dabbler in the arts,dilettante,6,Dilettante musician
Merriment ,mirth,17,Mirthfulness
Excessively orderly and fussy ,anal,1,Anal retentive
Friction or division in church organisation ,schism,12,Schism within the church
Likenesses or reflections ,images,1,Mirror images
Cards taken in excess of the contract in Bridge ,overtrick,1,Overtricked
Disco light,strobe,1,Strobe light
Common fund; game ,pool,10,Pool of resources
