CLUE,ANS,POS,FOUND IN
Season of falling leaves ,autumn,1,Autumnal foliage
Moll Flanders author ,defoe,1,"As an author, Defoe blended elements of autobiography and fiction to craft this compelling story that delves into themes such as survival, redemption, and the complexities of human nature."
Small close-knit group,clique,16,Clique (with a nuanced meaning)
Slack,loose,1,Loosely tied or spaced apart
Motherly,maternal,9,Maternal instinct
Top of door or window frame ,lintel,8,Lintel beam (a horizontal structural support which may be associated with the top section of a door or window opening)
Wireless ,radio,5,Radio waves
His touch turned to gold ,midas,10,Midas's embrace (reference to King Midas)
Quick look ,glance,4,Initial glance
Estrange ,alienate,1,Alienated
Branch of study of the physical world ,science,6,"Nanotechnology: Although not exclusively a branch under physics, it applies principles from various disciplines such as materials science, chemistry, and biology to manipulate matter at the nanoscale level (1-100 nanometers)."
Find - Scott's ship,discovery,10,"Carrack (Nau): A large sailing ship with three or more masts and an overhanging cast-away hull, used predominantly during the Age of Discovery which aligns well with historic explorations."
Idolise ,worship,6,Worshiped as a deity (if referring to fictional characters)
Unwanted plant ,weed,2,Weeds
