CLUE,ANS,POS,FOUND IN
Hot dusty wind ,sirocco,6,Searing sirocco
Fruit tree trained to grow against a wall ,espalier,1,Espaliers
Short-lived fad ,craze,3,Ephemeral craze
"A fast warship, sounds leisurely ",cruiser,7,Elegant cruiser
Concerning the self ,personal,2,Personal growth
A mixture of rain and snow ,sleet,10,Sooty sleet
Formal address or discourse ,speech,2,Eloquent speech
One thing among many ,item,2,A single item in a sea of possibilities
Look secretly ,peep,4,Peep covertly
Italian mister ,signor,1,Signore (Mr.)
