CLUE,ANS,POS,FOUND IN
- May Alcott; author ,louisa,7,Friend of Louisa May Alcott
Wesleyan ,methodist,3,Methodist tradition
Not achieving one's aim ,unsuccessful,3,Unsuccessful attempts
Porous fibres for soaking up ,sponge,2,Sponges
"Author of Our Mutual Friend, d. 1870",dickens,1,"Dickens had already established himself with earlier works such as ""David Copperfield"" (1850) and ""Great Expectations"" (1861), but ""Our Mutual Friend"" represents his final completed novel before he passed away in 1870 at the age of 58."
Leg joint,knee,2,Knee capsule
Suffocation ,asphyxia,1,Asphyxiated
Words said to a sneezer ,bless you,1,Bless you!
Pester persistently,harass,6,Incessant harassment
"Pledges, vows ",promises,13,Guardian of promises
