CLUE,ANS,POS,FOUND IN
Formal written work dealing with a particular subject ,treatise,1,Academic Treatise
Lie ,fib,1,Fibbing
"Sun, Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, Neptune, Pluto",solar system,7,"Inner solar system (closer to the Sun: Mercury, Venus, Earth, and Mars)"
Had as a purpose ,intended,1,Intended for
Moneylender who charges excessive interest ,usurer,10,Greedy usurer
Duo ,two,10,Conjoined (if referring to two bodies)
Card game with four players ,bridge,2,Bridge round
Wimbledon game ,tennis,1,Tennis match
Fire-raising crime ,arson,1,Arsonist
Overwhelming fear ,panic,1,Panic-stricken
The state of being alone ,solitude,20,"Introspective (in context, often due to solitude)"
Daydreams,reveries,11,Ethereal reveries
Lustful woodland god ,satyr,5,"Zeus's satyrs (mythological creatures associated with Dionysus, often depicted as lustful figures)"
Carve a statue ,sculpt,1,Sculpting
Celebrity,big name,5,Big name in showbiz
Case of top cards ,aces,1,Aces up
