CLUE,ANS,POS
Medical practitioner ,doctor,2
Giraffe-like animal ,okapi,2
Disease of birds ,psittacosis,2
Trained Japanese hostess -- his age (anag) ,geisha,1
Small lump ,nodule,9
Thick,dense,1
Large reptile,crocodile,1
Surgeon's knife ,scalpel,1
Pale and wan (6) ,pallid,1
Legal possessor ,owner,1
Terror ,panic,3
Yellow fruit ,banana,1
Royal personage,prince,4
House robber ,burglar,1
Bony framework ,skeleton,1
Very fancy or complicated ,elaborate,4
Fungal plant disease ,mildew,3
"Obstinate, bullheaded ",stubborn,1
Golf ball support ,tee,1
