CLUE,ANS,POS
Trick ,hoax,1
Revolving platform ,turntable,5
US state ,iowa,15
Enunciation ,diction,4
Tanned hide ,leather,1
"Eg, Vesuvius ",volcano,2
Costed ,priced,15
Test of knowledge,quiz,2
Consequence caused by something else ,effect,5
One of Montezuma's people,aztec,1
Persistently annoying persons,pests,2
Interminable ,endless,1
Athenian king ,theseus,10
"... of the fittest, natural selection ",survival,1
Betrayer ,traitor,1
Angry ,irate,2
Rough sleeper ,vagrant,2
Unpunctuality ,tardiness,3
Cover on a car wheel ,hubcap,1
Roman Emperor notorious for vice and luxury ,nero,1
Supreme Being ,god,1
Wash with clean water,rinse,1
Jar for water ,ewer,10
Clown,jester,2
Get away ,escape,1
"Rudyard --, author ",kipling,1
Established customs ,habits,5
Petty quarrel ,tiff,1
Casual shoes ,sneakers,1
"Banter, provoke gently ",tease,4
Burrowing marsupial ,wombat,1
The world considered as a linked community ,global village,8
Marine - living in water ,aquatic,1
Abundant in quantity ,copious,4
Dramatic prince of Denmark ,hamlet,1
Small biting fly ,gnat,2
"Eg, native of Sucre ",bolivian,1
Sermons are preached from it ,pulpit,1
Vocalist ,singer,1
"Undamaged, not broken ",intact,1
"Pablo -, Spanish painter/sculptor ",picasso,1
Sudden impulse ,whim,2
