CLUE,ANS,POS
Clapping ,applause,1
Allocates a task ,assigns,1
Assert one's right to,claim,1
Zodiac sign ,aquarius,11
Men whose wives have died ,widowers,1
Ten years ,decade,1
Window in  a roof ,skylight,1
Island mostly north of the Arctic circle,greenland,2
Be at odds,disagree,2
Immeasurably bad ,abysmal,4
Medical institutions ,hospitals,1
Breed of antelope ,impala,2
Harbinger ,herald,5
Loss of memory ,amnesia,3
Food item made with bleached flour ,white bread,1
Pilots,aviators,1
Steak type ,t-bone,4
Broad smile,grin,1
Inclined or took care of ,tended,1
Baseless ,unfounded,7
Seat of a monarch ,throne,1
Member of police force ,officer,1
Lute-like instrument ,mandolin,5
Business room - position of responsibility or duty,office,1
