CLUE,ANS,POS,FOUND IN
Weighty book ,tome,2,Voluminous tome
Rascal ,scamp,7,Adventurous scamp
Extremely wicked ,evil,2,Evil-minded
English composer ,purcell,1,Henry Purcell (1659-1695) - Baroque period
Picked,chose,2,Chosen
"-- Rodin, French sculptor ",auguste,1,Philosopher: Auguste (as in Auguste Rodin's admiration for the philosopher Stendhal)
Occurrences ,events,7,Occasional events that happen sporadayerrally
International treaty ,pact,3,Multilateral pact
Deliver from harm ,rescue,13,Rescue operation
Medieval weapon or kind of spice ,mace,8,Mace (bludgeon with a heavy metal head)
Food passed through a liquidiser ,puree,11,Puree creation
