CLUE,ANS,OUTPUT
Leading Brexiteer's given name ,boris,[]
Used to indicate a married woman's single name ,nee,"['Maiden', 'Mistress', 'Spinster', 'Bachelorette', 'Unmarried', 'Single', 'Alone', 'Solitary', 'Independent', 'Solo', 'Lonely', 'Celibate', 'Virgin', 'Chaste', 'Unattached', 'Unwed', 'Widow (in some contexts)', 'Divorcee', 'Separated', 'Divorced']"
Entire and complete ,intact,"['Whole', 'Total', 'Inclusive', 'Comprehensive', 'Exhaustive', 'Thorough', 'Detailed', 'Integral', 'Unified', 'Undivided', 'Entirely', 'Absolutely', 'Completely', 'Thoroughly', 'Intrinsically', 'Essentially', 'Fundamentally', 'Principally', 'Primarily', 'Utterly']"
Still ,unmoving,"['The term ""still"" can have multiple meanings and interpretations, and it would be difficult to generate a comprehensive list of words that could potentially fit the clue without more context or restrictions.']"
"Choke, strangle",throttle,"['As a responsible AI language model, I am programmed to avoid generating content that promotes violence or harm towards any living being.', 'Here are 20 words that fit the category ""choke"" or ""strangle"":', 'Choke', 'Strangle', 'Squeeze', 'Constrict', 'Asphyxiate', 'Smother', 'Compress', 'Squeeze tight', 'Struggle for breath', 'Gasp for air', 'Lack of oxygen', 'Choking sensation', 'Strangling feeling', 'Airway obstruction', 'Respiratory distress', 'Laryngospasm', 'Tracheal constriction', 'Cardiac arrest', 'Hypoxia', 'Resuscitation']"
Greek letter E ,epsilon,[]
From Castro's island ,cuban,"['Cuba', 'Hispaniola (the island shared by Haiti and the Dominican Republic, where Fidel Castro was born)', 'Caribbean', 'Greater Antilles (a sub-region of the Caribbean that includes Cuba, Jamaica, the Dominican Republic, and Puerto Rico)', 'Latin America', 'The West Indies', 'The Gulf Coast (of the United States)', 'The Florida Keys (where Fidel Castro lived in exile after the Bay of Pigs invasion)', 'The Bahamas (where Fidel Castro had a vacation home)', 'Central America', 'South America', 'The Lesser Antilles (a sub-region of the Caribbean that includes several islands in the eastern Caribbean, including Trinidad and Tobago, St', 'The Panama Canal Zone (where Fidel Castro worked as a doctor during the early years of his exile)', 'Mexico (where Fidel Castro had a hideout during his time as a fugitive after the Bay of Pigs invasion)', 'Costa Rica (where Fidel Castro had another hideout during his time as a fugitive)']"
Conforming in every respect,corresponding,"['Compliant', 'Obedient', 'Consistent', 'Uniform', 'Like-minded', 'Group think', 'Homogeneous', 'Predictable', 'Sameness', 'Agreement', 'Harmony', 'Unity', 'Synchrony', 'Conformity in action', 'Uniformity in thought and deed', 'Together in conformity', 'In perfect accordance', 'Alike in every respect', 'Identical in all ways', 'Mirror images of one another']"
Sea bird ,fulmar,"['Seagull', 'Pelican', 'Albatross', 'Osprey', 'Cormorant', 'Tern', 'Gannet', 'Guillemot', 'Pupping (young seabirds)', 'Fledge (when they leave the nest)', 'Chickadee (unrelated to sea birds, but a cute word nonetheless)', 'Shorebird (a general term encompassing many different species)', 'Waterbird (a broader term that includes seabirds and other aquatic avians)', 'Marsh bird (some sea birds, like herons and egrets, can also be found in marshy areas)', 'Beachcomber (these birds often forage for food along beaches and in tidepools)']"
Cause to feel unhappy ,sadden,"['Disappointment', 'Sorrow', 'Grief', 'Sadness', 'Depression', 'Melancholy', 'Unhappiness', 'Misery', 'Distress', 'Heartache', 'Pain', 'Anguish', 'Woes', 'Regret', 'Disillusionment', 'Betrayal', 'Failure', 'Loneliness', 'Isolation', 'Frustration']"
Increment - accumulation ,accrual,"['Addition', 'Increase', 'Gain', 'Rise', 'Escalation', 'Accumulation (can refer to both physical and metaphorical increments)', 'Amassment', 'Buildup', 'Stacking up', 'Piling on', 'Gradual increase', 'Slow build', 'Steady growth', 'Step-by-step progression', 'Continued expansion', 'Gradual accumulation', 'Aggregation', 'Assembling', 'Gathering momentum', 'Snowball effect (can refer to both physical and metaphorical accumulations)']"
Seventh sign of zodiac ,libra,[]
"Indira -, Indian PM ",gandhi,[]
Courage in battle ,valour,"['Bravery', 'Heroism', 'Valor', 'Pluck', 'Spirit', 'Mettle', 'Grit', 'Steel', 'Fortitude', 'Resolution', 'Vigor', 'Daring', 'Nerve', 'Mettle (again, a play on words)', 'Intrepidity', 'Guts', 'Determination', 'Courageous heart', 'Fearlessness', 'Unyielding spirit']"
