CLUE,ANS,POS
Friendly ,affable,2
Letters denoting holder of university doctorate ,phd,1
English county ,northamptonshire,16
Medical stitch ,suture,1
Influence someone deviously ,manipulate,1
Rude ,impolite,1
Creator of dance routines ,choreographer,1
Went in ,entered,1
Producing much ,prolific,11
Nuclear weapon,atomic bomb,1
Wrapped around with string ,twined,10
Wrong ,incorrect,1
Place to keep and exhibit objects of interest ,museum,1
Military operation to seal off (town) ,siege,1
Woodwind instrument,oboe,3
"Serious, formal",solemn,2
Inert gas ,xenon,6
