CLUE,ANS,POS,FOUND IN
European capital ,prague,19,Prague (Czech Republic)
"Irish organisation for women, initially ",ica,3,Sinn Féin Women's Network (SFWN) - A political organization within Sinn Féin focused on gender equality and female representation.
Jump on one foot ,hop,3,Hopscotch - An outdoor game played by jumping into and over numbered squares drawn on the ground.
Lounge ,recline,1,Recliner
Record ,disc,19,"Phonographic disc - A flat circular disk coated with an analog sound-reproducing material (e.g., vinyl) used to record and play back audio signals."
"Of food, bought for eating elsewhere (4-4) ",takeaway,14,Coffee Cup (for takeaway)
Hot drink ,cocoa,17,"Cocoa (as a non-alcoholic, warm beverage option similar to hot chocolate)"
Become entitled; modify ,qualify,12,"Qualify - meet the requirements for a particular status, possibly altering one's rights or titles."
Traditional Christmas stage show with Dame ,pantomime,9,"Pantomime (a popular theatrical genre during Christmas in the UK and Ireland featuring a female lead or ""dame"")"
Friendly - type ,kind,7,Kindhearted
Examination of vehicle's performance on highway ,road test,1,Road Testing
Oceanic gull ,kittiwake,12,"Black-legged Kittiwake (although not a gull, it often frequents oceanic areas)"
Celtic language,irish,1,Irish (Gaeilge)
Christopher Robin's bear ,pooh,1,Winnie-the-Pooh
Pain reliever ,analgesic,17,Analgesics (a class of drugs that relieve pain)
Head of corn ,ear,1,"Einkorn - An ancient species and early form of wheat, often referred to as ""head of corn"" due to its grain-like appearance."
Of system of land-holding in Middle Ages ,feudal,1,Feudalism
Latin American ballroom dance ,paso doble,5,Paso Doble - A Spanish-style flamenco inspired dance that mimics bullfighting movements; it's a dynamic and powerful style performed in Latin American ballrooms.
Reptile with shell,tortoise,3,Chelonian (a collective term for all turtles and tortoises)
"Quick, sharp, bite ",nip,2,Nip - To pinch lightly and briefly; also refers to a gentle bite of cold air on one's cheeks.
Medieval steward ,seneschal,1,Seneschal - A high-ranking official in medieval France who managed the estates and affairs of his lord or lady.
(Of business organisations) charitable ,not-for-profit,6,Not-for-profit group
Abstaining from alcohol ,teetotal,7,Teetotalism
Fur trimming on royal robes ,ermine,7,Ermine fur
