CLUE,ANS,POS
German tank ,panzer,1
Tried to locate ,searched,1
Jousting weapon ,lance,1
Tangible ,tactile,10
Not moving ,static,4
Small lie ,fib,2
Transporting vehicle ,van,3
"Acquire, procure",obtain,1
"John, Paul, George and Ringo ",beatles,1
Extensiveness - measure ,length,7
Put an end to; ruin ,destroy,5
Firm - building for animals ,stable,2
Magnitude ,size,4
Blemish ,scar,6
Feeling loss ,mourning,3
"Memento, keepsake ",souvenir,1
'The knee of an horse' (Johnson) ,pastern,2
"Smear, daub ",smudge,3
Plug for a cask's vent hole ,spigot,16
Not awake ,asleep,2
Butterfly/moth larva ,caterpillar,1
"Warranty, pledge ",guarantee,1
African language ,zulu,2
Burial ground ,cemetery,1
Spud ,potato,1
Made better in quality ,improved,2
A change of explanation ,reinterpretation,8
Robin Hood's forest ,sherwood,1
