CLUE,ANS,POS,FOUND IN
Oration ,speech,5,Persuasive speech
Allot or ascribe ,assign,1,Assign responsibility
Small birds ,sparrows,4,Minuscule sparrows
"Founder of the German Romantic school of opera, d. 1826",weber,1,Carl Maria von Weber
Artist's tripod ,easel,3,Easel support
Sudden feeling of fear,fright,7,Frightened
Herb to make money ,mint,5,"Mint (used widely, profitable when cultivated)"
Flavour ,taste,14,Infused with taste
Not the one mentioned ,other,11,Other than stated
Eyelash cosmetic ,mascara,2,Mascara eyelash enhancers
